match_gp,player,market_type,side,line,gp_selection,gp_price,pin_player,pin_price,pin_fair_price,pin_fair_prob,ev_pct,gp_market,gp_odd_id,pin_fixture_id
GB Packers	 vs. ATL Falcons,Jahan Dotson,playertotals-receptions,Over,1.5,Jahan Dotson (ATL) Plus de 1.5,1.7693,"Dotson, Jahan",1.617,1.7283783783783782,0.5785770132916341,2.367630961688838,Total de réceptions Plus/Moins(Incl. Prolongations),4536003683,id1400003171515808
GB Packers	 vs. ATL Falcons,Christian Watson,playertotals-receptions,Over,4.5,Christian Watson (GB) Plus de 4.5,1.9091,"Watson, Christian",1.775,1.8964646464646464,0.5272969374167776,0.6662583222370122,Total de réceptions Plus/Moins(Incl. Prolongations),4535939174,id1400003171515808
GB Packers	 vs. ATL Falcons,Tucker Kraft,playertotals-receptions,Over,3.5,Tucker Kraft (GB) Plus de 3.5,1.7408,"Kraft, Tucker",1.649,1.763425925925926,0.5670779732213179,-1.2830664216329835,Total de réceptions Plus/Moins(Incl. Prolongations),4535058114,id1400003171515808
GB Packers	 vs. ATL Falcons,Chris Brooks,playertotals-rushyards,Under,16.5,Chris Brooks (GB) moins de 16.5,1.8,"Brooks, Chris",1.709,1.8296116504854372,0.546564075351552,-1.6184664367206336,Total de yards à la course du joueur Plus/Moins (Incl. Prolongations),4539711909,id1400003171515808
GB Packers	 vs. ATL Falcons,Michael Penix,playertotals-passcompletions,Under,19.5,Michael Penix (ATL) moins de 19.5,1.7693,"Penix, Michael",1.735,1.8589108910891086,0.5379494007989348,-4.820612516644451,"Passes complétées, Joueur (prolongations incluses) ",4535895987,id1400003171515808
GB Packers	 vs. ATL Falcons,Matthew Golden,playertotals-receptions,Over,4.5,Matthew Golden (GB) Plus de 4.5,2.15,"Golden, Matthew",2.12,2.2656716417910445,0.4413702239789197,-5.105401844532276,Total de réceptions Plus/Moins(Incl. Prolongations),4535867642,id1400003171515808
GB Packers	 vs. ATL Falcons,Bijan Robinson,playertotals-receptions,Under,4.5,Bijan Robinson (ATL) moins de 4.5,2.0,"Robinson, Bijan",1.98,2.1192764273600906,0.47185916244331816,-5.628167511336368,Total de réceptions Plus/Moins(Incl. Prolongations),4535876784,id1400003171515808
GB Packers	 vs. ATL Falcons,Michael Penix,playertotals-tdpasses,Under,1.5,Michael Penix (ATL) moins de 1.5,1.3637,"Penix, Michael",1.363,1.4573825503355704,0.6861616394197559,-6.428137232327891,Total de Touchdowns à la passe du joueur (Incl. Prolongations),4535057566,id1400003171515808
GB Packers	 vs. ATL Falcons,Jordan Love,playertotals-tdpasses,Over,1.5,Jordan Love (GB) Plus de 1.5,1.7693,"Love, Jordan",1.769,1.8934343434343437,0.5281408375566817,-6.556041611096298,Total de Touchdowns à la passe du joueur (Incl. Prolongations),4535056980,id1400003171515808
GB Packers	 vs. ATL Falcons,Bijan Robinson,playertotals-rushattempts,Over,17.5,Bijan Robinson (ATL) Plus de 17.5,1.7693,"Robinson, Bijan",1.769,1.8934343434343437,0.5281408375566817,-6.556041611096298,Joueur tentative de gain par la course (prolongations incluses),4535058343,id1400003171515808
