match,market,signal,old,new,old_side,new_side
Alabama Crimson Tide vs. South Carolina Gamecocks,spread,MAIN_LINE_MOVE,-11.5,-12.5,Alabama Crimson Tide,Alabama Crimson Tide
Alabama Crimson Tide vs. South Carolina Gamecocks,total,MAIN_LINE_MOVE,53.5,54.5,,
Arkansas Razorbacks vs. Tulsa Golden Hurricane,spread,MAIN_LINE_MOVE,-6.5,-7.5,Arkansas Razorbacks,Arkansas Razorbacks
Auburn Tigers vs. Vanderbilt Commodores,total,MAIN_LINE_MOVE,54.5,55.5,,
Baylor Bears vs. Colorado Buffaloes,spread,MAIN_LINE_MOVE,-10.5,-9.5,Baylor Bears,Baylor Bears
Boston College Eagles vs. Virginia Tech Hokies,total,MAIN_LINE_MOVE,48.5,47.5,,
Bowling Green Falcons vs. FLORIDE DU SUD,total,MAIN_LINE_MOVE,48.5,49.5,,
Buffalo Bulls vs. Robert Morris Colonials,spread,MAIN_LINE_MOVE,-28.5,-29.5,Buffalo Bulls,Buffalo Bulls
Buffalo Bulls vs. Robert Morris Colonials,total,MAIN_LINE_MOVE,44.5,46.5,,
CAROLINE DE L´EST vs. North Carolina Central Eagles,spread,MAIN_LINE_MOVE,-34.5,-35.5,CAROLINE DE L´EST,CAROLINE DE L´EST
CAROLINE DE L´EST vs. North Carolina Central Eagles,total,MAIN_LINE_MOVE,54.5,56.5,,
Coastal Carolina vs. Liberty Flames,total,MAIN_LINE_MOVE,50.5,49.5,,
Duke Blue Devils vs. William & Mary Tribe,total,MAIN_LINE_MOVE,62.5,63.5,,
FIU Panthers vs. Liu Sharks,total,MAIN_LINE_MOVE,52.5,53.5,,
Florida State Seminoles vs. Central Arkansas Bears,spread,MAIN_LINE_MOVE,-44.5,-45.5,Florida State Seminoles,Florida State Seminoles
Florida State Seminoles vs. Central Arkansas Bears,total,MAIN_LINE_MOVE,59.5,62.5,,
GEORGIE BULLDOGS vs. Oklahoma Sooners,spread,MAIN_LINE_MOVE,-14.5,-13.5,GEORGIE BULLDOGS,GEORGIE BULLDOGS
