event_id,match,players,markets,contracts,file
17575384,Alabama Crimson Tide vs. South Carolina Gamecocks,32,106,424,gp_ncaa_props_events/17575384.csv
17575389,Arkansas Razorbacks vs. Tulsa Golden Hurricane,28,81,337,gp_ncaa_props_events/17575389.csv
17775665,Arkansas St Red Wolves vs. Kennesaw State Owls,17,17,51,gp_ncaa_props_events/17775665.csv
17575363,Auburn Tigers vs. Vanderbilt Commodores,22,101,402,gp_ncaa_props_events/17575363.csv
17775748,Bowling Green Falcons vs. FLORIDE DU SUD,21,21,63,gp_ncaa_props_events/17775748.csv
17775789,Charlotte 49ers vs. Louisiana-Lafayette Ragin Cajuns,22,22,66,gp_ncaa_props_events/17775789.csv
17575371,Cincinnati Bearcats vs. Kansas State Wildcats,26,107,428,gp_ncaa_props_events/17575371.csv
17575392,FRESNO vs. Rice Owls,22,22,66,gp_ncaa_props_events/17575392.csv
17575385,Florida Gators vs. Ole Miss Rebels,25,115,454,gp_ncaa_props_events/17575385.csv
17218408,GEORGIE BULLDOGS vs. Oklahoma Sooners,29,91,342,gp_ncaa_props_events/17218408.csv
17575380,Georgia Southern Eagles vs. Houston Cougars,23,86,338,gp_ncaa_props_events/17575380.csv
17575368,Iowa State Cyclones vs. Utah Utes,23,82,339,gp_ncaa_props_events/17575368.csv
17775728,Jacksonville State Gamecocks vs. Middle Tennessee Blue Raiders,18,18,54,gp_ncaa_props_events/17775728.csv
17218410,LSU Tigers vs. Texas A&M Aggies,26,92,366,gp_ncaa_props_events/17218410.csv
17775791,Louisiana-Monroe Warhawks vs. Florida Atlantic Owls,16,16,48,gp_ncaa_props_events/17775791.csv
17575360,MICHIGAN vs. Boise State Broncos,20,43,200,gp_ncaa_props_events/17575360.csv
17575387,Miami Hurricanes vs. Central Mich Chippewas,24,40,140,gp_ncaa_props_events/17575387.csv
17575374,Michigan State Spartans vs. Nebraska Cornhuskers,25,98,371,gp_ncaa_props_events/17575374.csv
17575364,Michigan Wolverines vs. Iowa Hawkeyes,24,93,350,gp_ncaa_props_events/17575364.csv
17575382,Mississippi St Bulldogs vs. Missouri Tigers,22,100,391,gp_ncaa_props_events/17575382.csv
17775746,Nevada Wolf Pack vs. Air Force Falcons,19,19,57,gp_ncaa_props_events/17775746.csv
17775592,New Mexico St Aggies vs. NOUVEAU MEXIQUE,20,20,60,gp_ncaa_props_events/17775592.csv
17575386,North Carolina State Wolfpack vs. Appalachian State Mountaineers,26,90,358,gp_ncaa_props_events/17575386.csv
17775747,Old Dominion Monarchs vs. James Madison Dukes,18,18,54,gp_ncaa_props_events/17775747.csv
17575373,Penn St Nittany Lions vs. Wisconsin Badgers,26,97,380,gp_ncaa_props_events/17575373.csv
17575379,SMU Mustangs vs. Missouri State Bears,26,47,186,gp_ncaa_props_events/17575379.csv
17776038,Sacramento State Hornets vs. UMass Minutemen,8,8,24,gp_ncaa_props_events/17776038.csv
17575393,Stanford Cardinal vs. Georgia Tech,22,74,301,gp_ncaa_props_events/17575393.csv
17775967,Tulane Green Wave vs. Southern Miss Golden Eagles,20,20,60,gp_ncaa_props_events/17775967.csv
17575372,UCF Knights vs. TCU Horned Frogs,23,80,337,gp_ncaa_props_events/17575372.csv
17331567,USC Trojans vs. Oregon Ducks,30,113,468,gp_ncaa_props_events/17331567.csv
17575390,UTEP Miners vs. Oregon State Beavers,25,25,75,gp_ncaa_props_events/17575390.csv
17575388,Utah State Aggies vs. Troy Trojans,20,20,60,gp_ncaa_props_events/17575388.csv
17575367,Virginia Cavaliers vs. Delaware Fightin Blue Hens,26,90,352,gp_ncaa_props_events/17575367.csv
17575391,Wash State Cougars vs. Arizona Wildcats,30,90,352,gp_ncaa_props_events/17575391.csv
17757069,Washington Huskies vs. Minnesota U Gophers,26,105,413,gp_ncaa_props_events/17757069.csv
17575366,West Virginia Mountaineers vs. Oklahoma St Cowboys,24,87,369,gp_ncaa_props_events/17575366.csv
