match_gp,match_pin,market,selection,gp_line,gp_price,pin_line,pin_price,pin_fair_prob,pin_fair_price,price_ev_pct,line_edge,gp_odd_id,abs_line_edge
Purdue Boilermakers vs. Notre Dame Fighting Irish,Purdue Boilermakers vs Notre Dame Fighting Irish,moneyline,Notre Dame Fighting Irish,,1.01,,1.021,0.9435006363787283,1.0598826979472142,-4.706435725748448,,4531871817,
West Virginia Mountaineers vs. Oklahoma St Cowboys,West Virginia Mountaineers vs Oklahoma State Cowboys,moneyline,West Virginia Mountaineers,,1.7693,,1.787,0.5378846651150763,1.8591346153846156,-4.832066201189555,,4515152449,
Ohio State Buckeyes vs. Illinois Fighting Illini,Ohio State Buckeyes vs Illinois Fighting Illini,moneyline,Ohio State Buckeyes,,1.01,,1.023,0.9407059641801426,1.0630314232902032,-4.9886976178055935,,4523154659,
Miami Redhawks vs. Connecticut Huskies,Miami Ohio RedHawks vs Connecticut Huskies,moneyline,Miami Redhawks,,1.5264,,1.546,0.6216348507097406,1.6086614173228346,-5.1136563876652,,4532237594,
Georgia Southern Eagles vs. Houston Cougars,Georgia Southern Eagles vs Houston Cougars,moneyline,Houston Cougars,,1.0834,,1.09,0.8734030197444832,1.1449468085106382,-5.3755168408827,,4531852447,
LSU Tigers vs. Texas A&M Aggies,LSU Tigers vs Texas A&M Aggies,moneyline,LSU Tigers,,1.2667,,1.279,0.7461797975788848,1.340159574468085,-5.481405040682674,,4272162404,
Baylor Bears vs. Colorado Buffaloes,Baylor Bears vs Colorado Buffaloes,moneyline,Baylor Bears,,1.2353,,1.247,0.7645837266377195,1.3079012345679013,-5.550972248442509,,4532004806,
UTEP Miners vs. Oregon State Beavers,UTEP Miners vs Oregon State Beavers,moneyline,Oregon State Beavers,,1.2,,1.21,0.7869718309859155,1.2706935123042506,-5.5633802816901445,,4531952033,
Auburn Tigers vs. Vanderbilt Commodores,Auburn Tigers vs Vanderbilt Commodores,moneyline,Auburn Tigers,,1.2667,,1.28,0.7455268389662029,1.3413333333333333,-5.564115308151085,,4515068202,
Baylor Bears vs. Colorado Buffaloes,Baylor Bears vs Colorado Buffaloes,total,Plus de 55.5,55.5,1.8696,55.5,1.9,0.5044340114762649,1.9824198552223375,-5.691017214397521,0.0,4532005076,0.0
