contract_type,match,player,market_type,direction,gp_line,gp_selection,gp_price,pin_line_ref,pin_price,pin_fair_price,pin_fair_prob,ev_pct,gp_odd_id
EXACT_OU,BUF Bills vs. LA Chargers,Justin Herbert,playertotals-rushattempts,Over,4.5,Justin Herbert (LAC) Plus de 4.5,2.1,4.5,1.769,1.893434343434344,0.5281408375566817,10.909575886903175,4543223948
EXACT_OU,DET Lions vs. NY Jets,Jahmyr Gibbs,playertotals-receptions,Over,4.5,Jahmyr Gibbs (DET) Plus de 4.5,2.25,4.5,1.97,2.1098591549295773,0.4739652870493992,6.642189586114822,4535060204
EXACT_OU,BUF Bills vs. LA Chargers,Josh Allen,playertotals-rushattempts,Over,7.5,Josh Allen (BUF) Plus de 7.5,2.0,7.5,1.769,1.893434343434344,0.5281408375566817,5.628167511336346,4543123666
EXACT_OU,PIT Steelers		 vs. CIN Bengals,Mike Gesicki,playertotals-receptions,Over,2.5,Mike Gesicki (CIN) Plus de 2.5,2.05,2.5,1.819,1.9449350649350647,0.514155982905983,5.40197649572649,4535006820
EXACT_OU,JAX Jaguars vs. NE Patriots,Drake Maye,playertotals-rushattempts,Over,5.5,Drake Maye (NE) Plus de 5.5,1.9091,5.5,1.694,1.8144230769230767,0.5511393746687865,5.218018018018023,4535337823
EXACT_OU,CLE Browns vs. CAR Panthers,Darren Waller,playertotals-receptions,Over,2.5,Darren Waller (CAR) Plus de 2.5,2.35,2.5,2.1,2.2470308788598574,0.445031712473573,4.582452431289652,4543443640
EXACT_OU,CLE Browns vs. CAR Panthers,Tetairoa McMillan,playertotals-receptions,Over,4.5,Tetairoa McMillan (CAR) Plus de 4.5,2.0,4.5,1.787,1.9154713114754096,0.5220647231880182,4.412944637603644,4543435976
EXACT_OU,IND Colts	 vs. HOU Texans,Xavier Hutchinson,playertotals-receptions,Over,3.5,Xavier Hutchinson (HOU) Plus de 3.5,2.25,3.5,2.02,2.164265129682997,0.4620505992010653,3.961384820239688,4535966296
EXACT_OU,WAS Commanders		 vs. SEA Seahawks,Stefon Diggs,playertotals-receptions,Over,3.5,Stefon Diggs (WAS) Plus de 3.5,1.7408,3.5,1.574,1.6843478260869562,0.5937016004130099,3.351574599896767,4535398859
EXACT_OU,MIA Dolphins vs. KC Chiefs,Patrick Mahomes,playertotals-rushattempts,Over,3.5,Patrick Mahomes (KC) Plus de 3.5,1.8334,3.5,1.657,1.7742990654205606,0.5636028443508033,3.330945483276282,4539656349
EXACT_OU,DAL Cowboys vs. BAL Ravens,Jake Ferguson,playertotals-receptions,Over,3.5,Jake Ferguson (DAL) Plus de 3.5,2.0,3.5,1.819,1.9449350649350647,0.514155982905983,2.8311965811965933,4536204730
EXACT_OU,DET Lions vs. NY Jets,Sam LaPorta,playertotals-receptions,Under,4.5,Sam LaPorta (DET) moins de 4.5,2.05,4.5,1.877,2.0,0.5,2.499999999999991,4535060030
