fixture_id,market_name,player_id,outcome_name,player_name,start_time,team1,team2,matchup,market_family,handicap,price,pin_central_line,line_edge,classification
id1400003171515794,Over Under Pass Yards (incl. overtime),1692885,Under,"Nix, Bo",2026-09-20T20:05:00.000Z,Denver Broncos,Jacksonville Jaguars,Denver Broncos vs Jacksonville Jaguars,Pass Yards,233.5,1.8,220.5,13.0,STRONG LINE EDGE
id1400003171515780,Over Under Player Receiving Yards (incl. overtime),1436916,Over,"Olave, Chris",2026-09-20T17:00:00.000Z,Baltimore Ravens,New Orleans Saints,Baltimore Ravens vs New Orleans Saints,Receiving Yards,66.5,1.769,74.5,8.0,STRONG LINE EDGE
id1400003171515806,Over Under Pass Yards (incl. overtime),2155572,Over,"Dart, Jaxson",2026-09-22T00:15:00.000Z,Los Angeles Rams,New York Giants,Los Angeles Rams vs New York Giants,Pass Yards,201.5,1.769,213.5,12.0,STRONG LINE EDGE
id1400003171515782,Over Under Player Receiving Yards (incl. overtime),2040427,Over,"Jefferson, Justin",2026-09-20T17:00:00.000Z,Chicago Bears,Minnesota Vikings,Chicago Bears vs Minnesota Vikings,Receiving Yards,70.5,1.769,77.5,7.0,STRONG LINE EDGE
id1400003171515800,Over Under Rush Yards (incl. overtime),1873932,Under,"Merritt, Jacory",2026-09-20T20:25:00.000Z,Dallas Cowboys,Washington Commanders,Dallas Cowboys vs Washington Commanders,Rush Yards,59.5,1.769,53.5,6.0,STRONG LINE EDGE
id1400003171515788,Over Under Rush Yards (incl. overtime),2009325,Over,"Lloyd, MarShawn",2026-09-20T17:00:00.000Z,New York Jets,Green Bay Packers,New York Jets vs Green Bay Packers,Rush Yards,46.5,1.769,52.5,6.0,STRONG LINE EDGE
id1400003171515806,Over Under Pass Yards (incl. overtime),830989,Under,"Stafford, Matthew",2026-09-22T00:15:00.000Z,Los Angeles Rams,New York Giants,Los Angeles Rams vs New York Giants,Pass Yards,251.5,1.769,242.5,9.0,LINE EDGE
id1400003171515802,Over Under Pass Yards (incl. overtime),1420461,Over,"Purdy, Brock",2026-09-20T20:25:00.000Z,San Francisco 49ers,Miami Dolphins,San Francisco 49ers vs Miami Dolphins,Pass Yards,229.5,1.833,238.5,9.0,LINE EDGE
id1400003171515786,Over Under Pass Yards (incl. overtime),2166974,Over,"Maye, Drake",2026-09-20T17:00:00.000Z,New England Patriots,Pittsburgh Steelers,New England Patriots vs Pittsburgh Steelers,Pass Yards,215.5,1.8,224.5,9.0,LINE EDGE
id1400003171515802,Over Under Pass Yards (incl. overtime),1232344,Over,"Willis, Malik",2026-09-20T20:25:00.000Z,San Francisco 49ers,Miami Dolphins,San Francisco 49ers vs Miami Dolphins,Pass Yards,171.5,1.769,180.5,9.0,LINE EDGE
id1400003171515782,Over Under Rush Yards (incl. overtime),2040245,Under,"Swift, D'Andre",2026-09-20T17:00:00.000Z,Chicago Bears,Minnesota Vikings,Chicago Bears vs Minnesota Vikings,Rush Yards,65.5,1.769,60.5,5.0,LINE EDGE
id1400003171515786,Over Under Player Receiving Yards (incl. overtime),987633,Over,"Henry, Hunter",2026-09-20T17:00:00.000Z,New England Patriots,Pittsburgh Steelers,New England Patriots vs Pittsburgh Steelers,Receiving Yards,34.5,1.769,39.5,5.0,LINE EDGE
id1400003171515794,Over Under Rush Yards (incl. overtime),2040183,Over,"Dobbins, J.K.",2026-09-20T20:05:00.000Z,Denver Broncos,Jacksonville Jaguars,Denver Broncos vs Jacksonville Jaguars,Rush Yards,55.5,1.833,60.5,5.0,LINE EDGE
id1400003171515804,Over Under Rush Yards (incl. overtime),2040511,Over,"Taylor, Jonathan",2026-09-21T00:20:00.000Z,Kansas City Chiefs,Indianapolis Colts,Kansas City Chiefs vs Indianapolis Colts,Rush Yards,81.5,1.833,86.5,5.0,LINE EDGE
id1400003171515794,Over Under Rush Yards (incl. overtime),2206446,Over,"Tuten, Bhayshul",2026-09-20T20:05:00.000Z,Denver Broncos,Jacksonville Jaguars,Denver Broncos vs Jacksonville Jaguars,Rush Yards,45.5,1.769,50.5,5.0,LINE EDGE
id1400003171515794,Over Under Player Receiving Yards (incl. overtime),2197644,Over,"Waddle, Jaylen",2026-09-20T20:05:00.000Z,Denver Broncos,Jacksonville Jaguars,Denver Broncos vs Jacksonville Jaguars,Receiving Yards,47.5,1.8,52.5,5.0,LINE EDGE
id1400003171515782,Over Under Player Receiving Yards (incl. overtime),1073886,Over,"Raymond, Kalif",2026-09-20T17:00:00.000Z,Chicago Bears,Minnesota Vikings,Chicago Bears vs Minnesota Vikings,Receiving Yards,23.5,1.769,28.5,5.0,LINE EDGE
id1400003171515786,Over Under Rush Yards (incl. overtime),2152020,Over,"Henderson, TreVeyon",2026-09-20T17:00:00.000Z,New England Patriots,Pittsburgh Steelers,New England Patriots vs Pittsburgh Steelers,Rush Yards,32.5,1.769,37.5,5.0,LINE EDGE
id1400003171515788,Over Under Pass Yards (incl. overtime),2040035,Over,"Love, Jordan",2026-09-20T17:00:00.000Z,New York Jets,Green Bay Packers,New York Jets vs Green Bay Packers,Pass Yards,249.5,1.769,257.5,8.0,LINE EDGE
id1400003171515786,Over Under Pass Yards (incl. overtime),831375,Under,"Rodgers, Aaron",2026-09-20T17:00:00.000Z,New England Patriots,Pittsburgh Steelers,New England Patriots vs Pittsburgh Steelers,Pass Yards,215.5,1.769,207.5,8.0,LINE EDGE
id1400003171515784,Over Under Pass Yards (incl. overtime),1218002,Over,"Burrow, Joe",2026-09-20T17:00:00.000Z,Houston Texans,Cincinnati Bengals,Houston Texans vs Cincinnati Bengals,Pass Yards,241.5,1.833,249.5,8.0,LINE EDGE
id1400003171515780,Over Under Pass Yards (incl. overtime),1473050,Over,"Shough, Tyler",2026-09-20T17:00:00.000Z,Baltimore Ravens,New Orleans Saints,Baltimore Ravens vs New Orleans Saints,Pass Yards,227.5,1.833,234.5,7.0,LINE EDGE
id1400003171515790,Over Under Player Receiving Yards (incl. overtime),2040665,Over,"Jeudy, Jerry",2026-09-20T17:00:00.000Z,Tampa Bay Buccaneers,Cleveland Browns,Tampa Bay Buccaneers vs Cleveland Browns,Receiving Yards,25.5,1.769,29.5,4.0,LINE EDGE
id1400003171515802,Over Under Player Receiving Yards (incl. overtime),1130029,Over,"Kittle, George",2026-09-20T20:25:00.000Z,San Francisco 49ers,Miami Dolphins,San Francisco 49ers vs Miami Dolphins,Receiving Yards,37.5,1.833,41.5,4.0,LINE EDGE
id1400003171515804,Over Under Player Receiving Yards (incl. overtime),831275,Under,"Allen, Keenan",2026-09-21T00:20:00.000Z,Kansas City Chiefs,Indianapolis Colts,Kansas City Chiefs vs Indianapolis Colts,Receiving Yards,34.5,1.833,30.5,4.0,LINE EDGE
id1400003171515802,Over Under Player Receiving Yards (incl. overtime),2302033,Over,"Douglas, Caleb",2026-09-20T20:25:00.000Z,San Francisco 49ers,Miami Dolphins,San Francisco 49ers vs Miami Dolphins,Receiving Yards,34.5,1.833,38.5,4.0,LINE EDGE
